song,artist,album,released_date,genre,like,lyrics
Baby Boy,Beyonce,Dangerously In Love,2003.07.21,R&B/Soul,"1,677","Certified quality
A dat da girl dem need and
dem not stop cry without apology
Buck dem da right way dat my policy
Sean Paul alongside
now hear what da man say Beyonce

Beyonce sing it now ya
BABY BOY YOU STAY ON MY MIND
FULFILL MY FANTASIES
I THINK ABOUT YOU ALL THE TIME
I SEE YOU IN MY DREAMS
BABY BOY NOT A DAY GOES BY
WITHOUT MY FANTASIES
I THINK ABOUT YOU ALL THE TIME
I SEE YOU IN MY DREAMS
AAH OH MY BABY'S FLY BABY OH
YES NO HURT ME SO GOOD BABY OH
I'M SO WRAPPED UP
IN YOUR LOVE LET ME GO
LET ME BREATHE STAY OUT MY FANTASIES
Ya ready gimme da ting dat ya
ready get ya live
and my about da tings
that you will fantasize
I know you dig da way me
step da way me make my stride
Follow your feelings baby
girl b c they cannot be denied
Come check me in a night and make
we get it amplified
Me have da ting to run da ship
cause I'm go slip and I'm go slide
And in the words of love
I got ta get it certified
But I give you da toughest
longest kinda ride girl
BABY BOY YOU STAY ON MY MIND
FULFILL MY FANTASIES
I THINK ABOUT YOU ALL THE TIME
I SEE YOU IN MY DREAMS
BABY BOY NOT A DAY GOES BY
WITHOUT MY FANTASIES
I THINK ABOUT YOU ALL THE TIME
I SEE YOU IN MY DREAMS
PICTURE US DANCIN REAL CLOSE
IN A DARK DARK CORNER
OF A BASEMENT PARTY
EVERY TIME I CLOSE MY EYES
IT'S LIKE EVERYONE
LEFT BUT YOU AND ME
IN OUR OWN LITTLE WORLD
THE MUSIC IS THE SUN
THE DANCE FLOOR BECOMES THE SEA
FEELS LIKE TRUE PARADISE TO ME
BABY BOY YOU STAY ON MY MIND
FULFILL MY FANTASIES
I THINK ABOUT YOU ALL THE TIME
I SEE YOU IN MY DREAMS
BABY BOY NOT A DAY GOES BY
WITHOUT MY FANTASIES
I THINK ABOUT YOU ALL THE TIME
I SEE YOU IN MY DREAMS
BABY BOY YOU STAY ON MY MIND
BABY BOY YOU ARE SO DAMN FINE
BABY BOY WON'T YOU BE MINE

Top top girl
Me and you together is a wrap dat girl
Driving around da town
in your drop top girl
You no stop shock girl
Little more da Dutty
we'll rock dat world
Top top girl
Me and you together is a wrap dat girl
Driving around da town
in your drop top girl
You no stop shock girl
Little more da Dutty
we'll rock dat world
Top top girl
BABY BOY YOU STAY ON MY MIND
FULFILL MY FANTASIES
I THINK ABOUT YOU ALL THE TIME
I SEE YOU IN MY DREAMS
BABY BOY NOT A DAY GOES BY
WITHOUT MY FANTASIES
I THINK ABOUT YOU ALL THE TIME
I SEE YOU IN MY DREAMS"
If I Were A Boy,Beyonce,If I Were A Boy (Single),2008.10.21,R&B/Soul,"23,324","If I were a boy
Even just for a day
I'd roll outta bed in the morning
And throw on what I wanted then go
Drink beer with the guys
And chase after girls
I'd kick it with who I wanted
And I'd never get confronted for it
Cause they'd stick up for me
If I were a boy
I think I could understand
How it feels to love a girl
I swear I'd be a better man
I'd listen to her
Cause I know how it hurts
When you lose the one you wanted
Cause he's taken you for granted
And everything you had got destroyed
If I were a boy
I would turn off my phone
Tell everyone it's broken
So they'd think that
I was sleepin' alone
I'd put myself first
And make the rules as I go
Cause I know that she'd be faithful
Waitin' for me to come home
to come home
If I were a boy
I think I could understand
How it feels to love a girl
I swear I'd be a better man
I'd listen to her
Cause I know how it hurts
When you lose the one you wanted
Cause he's taken you for granted
And everything you had got destroyed
It's a little too late
for you to come back
Say its just a mistake
Think I'd forgive you like that
If you thought I would wait for you
You thought wrong
But you're just a boy
You don't understand
How it feels to love a girl someday
You wish you were a better man
You don't listen to her
You don't care how it hurts
Until you lose the one you wanted
Cause you've taken her for granted
And everything you have got destroyed
But you're just a boy"
Where Is The Love?,Black Eyed Peas,Where Is The Love? (Single),2001.09.02,랩/힙합,"23,284","What's wrong with the
world mama
People livin' like they
ain't got no mamas
I think the whole world
addicted to the drama
Only attracted to things
that'll bring you trauma
Overseas yeah we try to
stop terrorism
But we still got terrorists
here livin'
In the USA the big CIA
The Bloods and The Crips
and the KKK
But if you only have love
for your own race
Then you only leave space
to discriminate
And to discriminate only
generates hate
And when you hate then
you're bound to get irate yeah
Madness is what you
demonstrate
And that's exactly how
anger works and operates
Man you gotta have love
just to set it straight
Take control of your mind
and meditate
Let your soul gravitate to
the love y'all y'all
People killing people dying
Children hurt
and you hear them cryin
Can you practice
what you preach
And would you turn
the other cheek
Father Father Father help us
Send us some guidance
from above
'Cause people got me
got me questionin
Where is the love
Where is the love
Where is the love
Where is the love
The love the love
It just ain't the same
always unchanged
New days are strange is
the world insane
If love and peace is so strong
Why are there pieces of love
that don't belong
Nations droppin bombs
Chemical gasses fillin
lungs of little ones
With the ongoin sufferin
as the youth die young
So ask yourself
is the lovin really gone
So I could ask myself
really what is goin wrong
In this world that we livin
in people keep on givin in
Makin wrong decisions
only visions of them dividends
Not respectin each other
deny thy brother
A war is goin on
but the reasons undercover
The truth is kept secret
it's swept under the rug
If you never know truth
then you never know love
Wheres the love yall come on
I don't know
Wheres the truth yall come on
I don't know
Wheres the love yall
People killin people dyin
Children hurt
and you hear them cryin
Can you practice
what you preach
And would you turn
the other cheek
Father Father Father help us
Send us some guidance
from above
'Cause people got me
got me questionin
Where is the love
Where is the love
Where is the love
Where is the love
Where is the love
Where is the love
Where is the love
Where is the love
The love the love
I feel the weight of
the world on my shoulder
As I'm gettin older yall
people gets colder
Most of us only care
about money makin
Selfishness got us followin
our own direction
Wrong information always
shown by the media
Negative images
is the main criteria
Infecting the young minds
faster than bacteria
Kids wanna act like what
they see in the cinema
whatever happened
to the values of humanity
Whatever happened
to the fairness in equality
Instead in spreading love
we spreading animosity
Lack of understanding leading
lives away from unity
Thats the reason
why sometimes Im feelin under
Thats the reason
why sometimes I'm feelin down
Theres no wonder
why sometimes I'm feelin under
Gotta keep my faith alive
til love is found
Where is the love
Where is the love
Where is the love
Where is the love
Father Father Father help us
Send us some guidance
from above
'Cause people got me
got me questionin
Where is the love
Sing with me y'all
One world one world
We only got
One world one world
That's all we got
One world one world
And something's wrong
with it Yeah
Something's wrong
with it Yeah
Something's wrong
with the wo wo world yeah
We only got
One world one world
That's all we got
One world one world"
Boom Boom Pow,Black Eyed Peas,The Beginning & The Best Of The E.N.D. (International Mega-Deluxe Version),2010.01.01,랩/힙합,"10,303","Gotta get get
Gotta get get
Gotta get get
Gotta get gggget get get get get
Boom boom boom
Gotta get get
Boom boom boom
Gotta get get
Boom boom boom
Gotta get get
Boom boom boom
Gotta get get
Boom boom boom now
Boom boom boom now
Boom boom pow
Boom boom yo
I got the hit that beat the block
You can get that bass overload
I got the that rock and roll
That future flow
That digital spit
Next level visual shit
I got that
Boom boom pow
How the beat bang
Boom boom pow
I like that boom boom pow
Them chickens jackin' my style
They try to copy my swagger
I'm on that next shit now
I'm so 3008 You so 2000 and late
I got that boom boom boom
That future boom boom boom
Let me get it now
Boom boom boom
Gotta get get
Boom boom boom
Gotta get get
Boom boom boom
Gotta get get
Boom boom boom
Gotta get get
Boom boom boom now
Boom boom boom now
Boom boom pow
Boom boom pow
I'm on the supersonic boom
Y'all hear that spaceship zoom
When when I step inside the room
them girls go ape shit uh
Y'all stuck on Super 8 shit
That low fi stupid 8 bit
I'm on that HD flat
This beat go boom boom bap
I'm a beast when you turn me on
Into the future cybertron
Harder faster better stronger
Sexy ladies extra longer
'Cause we got the beat that bounce
We got the beat that pound
We got the beat that 808
That the boom boom in your town
People in the place
If you wanna get down
Put your hands in the air
Will I am drop the beat now
I be rockin' them beats
I be rockin' them beats
Here we go here we go
satellite radio
Y'all gettin' hit with Boom boom
Beats so big
I'm steppin on leprechauns
Shittin' on y'all you
with the Boom boom
Shittin' on y'all you
with the Boom boom
Shittin' on y'all you with the
This beat be bumpin' bumpin'
This beat go boom boom
Let the beat rock
Let the beat rock
Let the beat rock
This beat be bumpin' bumpin'
This beat go boom boom
I like that boom boom pow
Them chickens jackin' my style
They try copy my swagger
I'm on that next shit now
I'm so 3008 You so 2000 and late
I got that boom boom boom
That future boom boom boom
Let me get it now
Boom boom boom
Gotta get get
Boom boom boom
Gotta get get
Boom boom boom
Gotta get get
Boom boom boom
Gotta get get
Boom boom boom now
Boom boom boom now
Boom boom pow
Boom boom pow
Let the beat rock
Let the beat rock
Let the beat rock
Let the beat
Let the beat rock
Let the beat rock rock rock rock"
Let's Get It Started,Black Eyed Peas,Pop Party,2007.09.17,랩/힙합,"3,250","Let's get it strarted in here
And the bass keeps
runnin' runnin' and
running running and
running running and
runnin' runnin' and
running running and
running running and
running running and
running running and
In this context there's no
disrespect
So when I bust my rhyme
you break your necks
we got five minutes
for us to disconnect
from all intellect like
the ripple effect
Lose your inhibition
follow your intuition
free your inner soul and
break away from tradition
cause when we be out
the girles wanna how we wow shit
out
Burn it till it's burned out
Turn it till it's turned out
Act up from north west east south
Everybody everybody
let's get into it
get stupid
get it started
get it started
get it started
Let's get it strated ha
Let's get it strated in here
Let's get it strated ha
Let's get it strated in here
Let's get it strated ha
Let's get it strated in here
Let's get it strated ha
Let's get it strated in here
Loose control
our body and soul
don't move to fast
people just take it slow
don't get agead just jump into it
Ya'll hear about it
The peas will do it
get it started
get stupid
don't worry about it
People will walk you through it
step by step
like you're the new kid
inch by inch with a new solution
transmit hits with no delusion
the feelings irresistible
and that's how we move it
Everybody everybody
let's get into it
get stupid
get it started get it started
get it started
Let's get it strated ha
Let's get it strated in here
Let's get it strated ha
Let's get it strated in here
Let's get it strated ha
Let's get it strated in here
Let's get it strated ha
Let's get it strated in here
Let's get ill that's the deal
Apl paid will be the
one time thrill
Just
Loose your mind this is the time
Kiss this butt to bang your spine
Just
Bob your head like the Apl be
I'm like a club up in your belly
Get messy loud and sick
Your mind has come on
another head trip
so come dumb now do not correct it
Let's get pregnant lets get heavy
Everybody everybody
let's get into it
get stupid
get it started get it started
get it started
Let's get it strated ha
Let's get it strated in here
Let's get it strated ha
Let's get it strated in here
Let's get it strated ha
Let's get it strated in here
Let's get it strated ha
Let's get it strated in here"
Where Is The Love? (Album Ver.) (SBS K팝스타 시즌2 방예담 가창곡),Black Eyed Peas,Elephunk (Bonus Track),2003.06.24,랩/힙합,"7,749","What's wrong with the
world mama
People livin' like they
ain't got no mamas
I think the whole world
addicted to the drama
Only attracted to things
that'll bring you trauma
Overseas yeah we try to
stop terrorism
But we still got terrorists
here livin'
In the USA the big CIA
The Bloods and The Crips
and the KKK
But if you only have love
for your own race
Then you only leave space
to discriminate
And to discriminate only
generates hate
And when you hate then
you're bound to get irate yeah
Madness is what you
demonstrate
And that's exactly how
anger works and operates
Man you gotta have love
just to set it straight
Take control of your mind
and meditate
Let your soul gravitate to
the love y'all y'all
People killing people dying
Children hurt
and you hear them cryin
Can you practice
what you preach
And would you turn
the other cheek
Father Father Father help us
Send us some guidance
from above
'Cause people got me
got me questionin
Where is the love
Where is the love
Where is the love
Where is the love
The love the love
It just ain't the same
always unchanged
New days are strange is
the world insane
If love and peace is so strong
Why are there pieces of love
that don't belong
Nations droppin bombs
Chemical gasses fillin
lungs of little ones
With the ongoin sufferin
as the youth die young
So ask yourself
is the lovin really gone
So I could ask myself
really what is goin wrong
In this world that we livin
in people keep on givin in
Makin wrong decisions
only visions of them dividends
Not respectin each other
deny thy brother
A war is goin on
but the reasons undercover
The truth is kept secret
it's swept under the rug
If you never know truth
then you never know love
Wheres the love yall come on
I don't know
Wheres the truth yall come on
I don't know
Wheres the love yall
People killin people dyin
Children hurt
and you hear them cryin
Can you practice
what you preach
And would you turn
the other cheek
Father Father Father help us
Send us some guidance
from above
'Cause people got me
got me questionin
Where is the love
Where is the love
Where is the love
Where is the love
Where is the love
Where is the love
Where is the love
Where is the love
The love the love
I feel the weight of
the world on my shoulder
As I'm gettin older yall
people gets colder
Most of us only care
about money makin
Selfishness got us followin
our own direction
Wrong information always
shown by the media
Negative images
is the main criteria
Infecting the young minds
faster than bacteria
Kids wanna act like what
they see in the cinema
whatever happened
to the values of humanity
Whatever happened
to the fairness in equality
Instead in spreading love
we spreading animosity
Lack of understanding leading
lives away from unity
Thats the reason
why sometimes Im feelin under
Thats the reason
why sometimes I'm feelin down
Theres no wonder
why sometimes I'm feelin under
Gotta keep my faith alive
til love is found
Where is the love
Where is the love
Where is the love
Where is the love
Father Father Father help us
Send us some guidance
from above
'Cause people got me
got me questionin
Where is the love
Sing with me y'all
One world one world
We only got
One world one world
That's all we got
One world one world
And something's wrong
with it Yeah
Something's wrong
with it Yeah
Something's wrong
with the wo wo world yeah
We only got
One world one world
That's all we got
One world one world"
I Gotta Feeling,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES) (International Version),2009.06.09,랩/힙합,"2,354","I gotta feeling
that tonight's gonna be
a good night
that tonight's gonna be
a good night
that tonight's gonna be
a good good night
that tonight's gonna be
a good night
that tonight's gonna be
a good night
that tonight's gonna be
a good good night
that tonight's gonna be
a good night
that tonight's gonna be
a good night
that tonight's gonna be
a good good night
that tonight's gonna be
a good night
that tonight's gonna be
a good night
that tonight's gonna be
a good good night
Tonight's the night
Let's live it up
I got my money
Let's spend it up
Go out and smash it
like Oh My God
Jump off that sofa
Let's get get OFF
I know that we'll have a ball
if we get down
and go out and just loose it all
I feel stressed out
I wanna let it go
Let's go way out spaced out
and loosing all control
Fill up my cup
Mozoltov
Look at her dancing
just take it off
Let's paint the town
We'll shut it down
Let's burn the roof
and then we'll do it again
Let's Do it
Let's Do it
Let's Do it
Let's Do it
And Do it
And Do it
and live it up
And Do it
And Do it
And Do it Do it Do it
Let's Do it
Let's Do it
Let's Do it
cuz I gotta feeling
that tonight's gonna be
a good night
that tonight's gonna be
a good night
that tonight's gonna be
a good good night
that tonight's gonna be
a good night
that tonight's gonna be
a good night
that tonight's gonna be
a good good night
Tonight's the night
let's live it up
I got my money
Let's spend it up
Go out and smash it
Like Oh My God
Jump off that sofa
Let's get get OFF
Fill up my cup
Drink
Mozoltov
Lahyme
Look at her dancing
Move it Move it
take it off
Let's paint the town
We'll shut it down
Let's burn the roof
and then we'll do it again
let's do it
let's do it
let's do it
let's do it
And Do it
And Do it
let's live it up
And Do it
And Do it
And Do it Do it Do it
Let's Do it
Let's Do it
Let's Do it Do it Do it Do it
Here we come
here we go
we gotta rock
Easy come
easy go
now we on top
Feel the shot
body rock
Rock it don't stop
Round and round
up and down
around the clock
Monday Tuesday
Wednesday and Thursday
Friday Saturday
Saturday to Sunday
get get get get get with us
you know what we say
Party every day
pa pa pa Party every day
and I'm feelin
that tonight's gonna be
a good night
that tonight's gonna be
a good night
that tonight's gonna be
a good good night
that tonight's gonna be
a good night
that tonight's gonna be
a good night
that tonight's gonna be
a good good night"
Shut Up,Black Eyed Peas,Elephunk (Bonus Track),2003.06.24,랩/힙합,"1,070","Shut up just shut up shut up
Shut up just shut up shut up
Shut up just shut up shut up
Shut it up
just shut up shut up
Shut up just shut up shut up
Shut up just shut up shut up
Shut up just shut up shut up
Shut it up
just shut up shut up
We try to take it slow
But we're still losin control
And we try to make it work
But it still isn't the worst
And I'm crazy
For try'na be your lady
I think I'm goin' crazy
Girl me and
you were just fine
Ya know
We wine and dine
Did them things that
couples do when in love
Ya know
Walks on the beach and stuff
Ya know
Things that lovers say and do
I love you boo
I love you too
I miss you a lot
I miss you even more
That's why I flew you out
when we was on tour
But then something
got outta hand
You start yellin' when
I'm with my friends
Even though I had
legitimate reasons
Bull shit
You know I have to
make them evidence
Bull shit
How could you trust our
private eyes girl
That's why you
don't believe my lies
And quit this lecture
Shut up just shut up shut up
Shut it up
just shut up shut up
We try to take it slow
But we're still losin control
And we try to make it work
But it still isn't the worst
And I'm crazy
For try'na be your lady
I think I'm goin' crazy
Why does he know she gotta
move so fast
Love is progress you could
make it last
Why is it that you just
lose control
Every time you agree on
takin' it slow
So why does it got to be
so damn tough
Cuz fools in lust could
never get enough of love
Showin' him the
love that you be givin'
Changing up your livin'
For a lovin' trandition
Girl lip so much she tryin to
get you to listen
Few mad at each other
has become our tradition
You yell I yell
everybody yells Got
neighbors across street sayin
Who the hell
What the hell's going down
Too much of the bickerin'
Kill it with the sound and
Shut up just shut up shut up
Shut it up
just shut up shut up
We tried to take it slow
But we're still losin control
And we try to make it work
But it still isn't the worst
And I'm crazy
For try'na be your lady
I think I'm goin' crazy
Shut up just shut up shut up
Shut up just shut up shut up
Shut up just shut up shut up
Shut it up
just shut up shut up
Shut up just shut up shut up
Shut up just shut up shut up
Shut up just shut up shut up
Shut it up
just shut up shut up
Girl our love is dyin'
Why can't you stop tryin'
I never been a quitah
But I do deserve betta
Believe me I will do bad
Let's forget the past
let's start this new plan
Why Cuz it's the
same old routine
And then next week
I hear them scream
Girl I know you're
tired of the things they say
You're damn right
Cuz I heard them lame dame
excuses just yesterday
That was a different thing
No it ain't
That was a different thing
No it ain't
That was a different thing
It was the same damn thing
Same ass excuses
Boy you're usless
Shut up just shut up shut up
Shut up just shut up shut up
Shut up just shut up shut up
Shut it up
just shut up shut up
Shut up just shut up shut up
Shut up just shut up shut up
Shut up just shut up shut up
Shut it up
just shut up shut up
Stop the talking baby
Or I start walking baby
Stop the talking baby
Or I start walking baby
Stop the talking baby
Or I start walking baby
Stop the talking baby
Or I start walking baby
that all there is
Is that all there is
Is that all there is
Is that all there is
Is that all there is
Is that all there is
Is that all there is
Is that all there is
Is that all there is
Is that all there is
Is that all there is
Is that all there is"
When I Was Your Man,Bruno Mars,Unorthodox Jukebox,2012.12.07,R&B/Soul,"130,097","Same bed but it feels just
A little bit bigger now
Our song on the radio
But it dont sound the same
When our friends
talk about you
All it does is just tear me down
Cause my heart breaks a little
When I hear your name
It all just sounds like oooooh
Mmm too young
too dumb to realize
That i
Should've bought you flowers
And held you hands
Should've gave you
all my hours
When I had the chance
Take you to every party
Cause all you
wanted to do was dance
Now my baby is dancing
But shes dancing
with another man
My pride my ego my
needs and my selfish ways
Cause the good strong
woman like you
to walk out my life
Now I never
never get to clean up the mess
I made
Ooh and it hunts me every time
I close my eyes
It all just sounds like oooooh
Mmm too young
too dumb to realize
That i
Should've bought you flowers
And held your hands
Should've gave you all my hours
When I had the chance
Take you to every party
Cause all you
wanted to do was dance
Now my baby is dancing
But shes dancing with another man
Although it hurts
Ill be the first to say
That I was wrooooong
Oooh I know
im probably much too late
To try and apologize
for my mistakes
But I just want you to know
I hope he buys you flowers
I hope he hold you hands
Give you all his hours
When he has the chance
Take you to every party
Cause I remember how much
You loved to dance
Do all the things
I should've done
When I was your man
Do all the things
I should've done
When I was your man"
That's What I Like,Bruno Mars,24K Magic,2016.11.18,POP,"130,936","I got a condo in Manhattan
Baby girl what’s happening
You and your ass invited
So go and get to clapping
Go pop it for a player
Pop pop it for me
Turn around and drop it for a player
Drop drop it for me
I’ll rent a beach house in Miami
Wake up with no jammies
Lobster tail for dinner
Julio serve that scampi
You got it if you want it
Got got it if you want it
Said you got it if you want it
Take my wallet if you want it now
Jump in the Cadillac
Girl let’s put some miles on it
Anything you want
Just to put a smile on it
You deserve it baby
you deserve it all
And I’m going to give it to you
Gold jewelry shinning so bright
Strawberry champagne on ice
Lucky for you that’s what I like
that’s what I like
Lucky for you that’s what I like
that’s what I like
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you that’s what I like
that’s what I like
Lucky for you that’s what I like
that’s what I like
I’m talking trips to Puerto Rico
Say the word and we go
You can be my freaka
Girl I’ll be your freako
Mamacita
I will never make a promise
that I can’t keep
I promise that your smile
ain't gon never leave
Shopping sprees in Paris
Everyday 24 karats
Take a look in that mirror
Now tell me who’s the fairest
Is it you Is it you
Is it me Is it me
Say it’s us Say it’s us
And I’ll agree baby
Jump in the Cadillac
Girl let’s put some miles on it
Anything you want
Just to put a smile on it
You deserve it baby
you deserve it all
And I’m going to give it to you
Gold jewelry shinning so bright
Strawberry champagne on ice
Lucky for you that’s what I like
that’s what I like
Lucky for you that’s what I like
that’s what I like
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you that’s what I like
that’s what I like
Lucky for you that’s what I like
that’s what I like
You say you want a good time
Well here I am baby here I am baby
Talk to me talk to me talk to me
Tell me what on your mind
If you want it girl come and get it
All this is here for you
Tell me baby tell me tell me baby
What you trying to do
Gold jewelry shinning so bright
Strawberry champagne on ice
Lucky for you that’s what I like
that’s what I like
Lucky for you that’s what I like
that’s what I like
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you that’s what I like
that’s what I like
Lucky for you that’s what I like
that’s what I like"
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",An Evening With Silk Sonic,2021.07.30,R&B/Soul,"106,559","Say baby say baby say baby
What you doin
what you doin
Where you at
where you at
Oh you got plans
you got plans
Don’t say that
shut yo trap
I’m sippin wine
sip sip
In a robe
drip drip
I look too good
look too good
To be alone
wooohooo
My house clean
house clean
My pool warm
pool warm
Just shaved
smooth like a new born
We should be dancing romancing
In the east wing and the west wing
Of this mansion what’s happenin
I aint playin no games
Every word that I say
Is coming straight from the heart
so if you tryna lay in these arms
Imma leave the door open
imma leave the door open
Imma leave the door open girl
Imma leave the door open hopin
That you feel the way I feel
And you want me like
I want you tonight baby
tell me that you’re coming through
You’re so sweet
so sweet
So tight
so tight
I won’t bite
ahh ahh
Unless you like
unless you like
If you smoke
what you smoke
I got that haze
purple haze
And if you’re hungry girl I got filets
woohooo
Ooh baby don’t keep me waiting
There’s so much love
we could be making
Shamone
I’m talking kissing Cuddling
Rose petals in the bathtub
Girl lets jump in It’s bubblin
I aint playin no games
Every word that I say
Is coming straight from the heart
So if you tryna lay in these arms
Imma leave the door open
imma leave the door open
Imma leave the door open girl
Imma leave the door open hopin
That you feel the way I feel
And you want me like
I want you tonight baby
tell me that you’re coming through
La la laaa la la la laaa
I need you baby
La la laaa la la la laaa
I gotta see you baby
La la laaa la la la laaa
Girl I’m tryna give you this
aaaaahhhhhhhhhh
Imma leave my door open baby
imma leave the door open
imma leave my door open girl
Imma leave the door open hopin
And I’m hopin
Hopin that you feel the way I feel
And you want me like
I want you tonight baby
tell me that you’re coming through
La la laaa la la la laaa
Tell me
Tell me that you’re coming through
Woo woo-woo woo woo-woowoo
Woo-woo
Woo woo-woo woo woo-woowoo
Woo-woo
La la laaa la la la laaa
Tell me that you’re coming through
Girl I’m here just waiting for you
Come on over I’ll adore you
I gotta know
La la laaa la la la laaa
I’m waiting waiting waiting for you
Tell me that you’re coming through
Girl I’m here just waiting for you
Come on over I’ll adore you"
Just The Way You Are,Bruno Mars,Doo-Wops & Hooligans (International Ver.),2011.02.16,R&B/Soul,"78,550","Oh, her eyes, her eyes, make the stars look like they're not shining

Her hair, her hair, falls perfectly without her trying

She's so beautiful, and I tell her every day



Yeah, I know, I know, when I compliment her she won't believe me

And it's so, it's so, sad to think that she don't see what I see

But every time she asks me do I look ok, I say



When I see your face, there's not a thing that I would change

Cause you're amazing, just the way you are

And when you smile, the whole world stops and stares for a while

Because girl you're amazing, just the way you are(yeah)



Her lips, her lips, I could kiss them all day if she let me

Her laugh, her laugh, she hates but I think it's so sexy

She's so beautiful, and I tell her every day



Oh, you know, you know, you know, I'd never ask you to change

If perfect's what you're searching for then just stay the same

So, don't even bother asking if you look ok

You know I'll say



When I see your face, there's not a thing that I would change

Cause you're amazing, just the way you are

And when you smile, the whole world stops and stares for a while

Because girl you're amazing, just the way you are

The way you are, the way you are

Girl you're amazing, just the way you are



When I see your face, there's not a thing that I would change

Cause you're amazing, just the way you are

And when you smile, the whole world stops and stares for a while

Cause girl you're amazing, just the way you are. Yeah"
Uptown Funk (Feat. Bruno Mars),Mark Ronson,Uptown Funk (Feat. Bruno Mars),2014.11.10,POP,"158,067","This hit
That ice cold
Michelle Pfeiffer
That white gold
This one for them hood girls
Them good girls
Straight masterpieces
Stylin' while in
Livin' it up in the city
Got Chucks on with Saint Laurent
Gotta kiss myself I'm so pretty
I'm too hot hot damn
Called a police and a fireman
I'm too hot hot damn
Make a dragon wanna retire man
I'm too hot hot damn
Say my name you know who I am
I'm too hot hot damn
Am I bad 'bout that money
Break it down
Girls hit your hallelujah whuoo
Girls hit your hallelujah whuoo
Girls hit your hallelujah whuoo
'Cause Uptown Funk gon' give it to you
'Cause Uptown Funk gon' give it to you
'Cause Uptown Funk gon' give it to you
Saturday night and we in the spot
Don't believe me just watch come on
Don't believe me just watch
Don't believe me just watch
Don't believe me just watch
Don't believe me just watch
Don't believe me just watch
Hey hey hey oh
Stop
Wait a minute
Fill my cup put some liquor in it
Take a sip sign a check
Julio Get the stretch
Ride to Harlem Hollywood
Jackson Mississippi
If we show up we gon' show out
Smoother than a fresh dry skippy
I'm too hot hot damn
Called a police and a fireman
I'm too hot hot damn
Make a dragon wanna retire man
I'm too hot hot damn hot damn
Bitch say my name you know who I am
I'm too hot hot damn
Am I bad 'bout that money
Break it down
Girls hit your hallelujah whuoo
Girls hit your hallelujah whuoo
Girls hit your hallelujah whuoo
'Cause Uptown Funk gon' give it to you
'Cause Uptown Funk gon' give it to you
'Cause Uptown Funk gon' give it to you
Saturday night and we in the spot
Don't believe me just watch come on
Don't believe me just watch
Don't believe me just watch
Don't believe me just watch
Don't believe me just watch
Don't believe me just watch
Hey hey hey oh
Before we leave
I'm a tell y'all a lil' something
Uptown Funk you up Uptown Funk you up
Uptown Funk you up Uptown Funk you up
I said Uptown Funk you up
Uptown Funk you up
Uptown Funk you up Uptown Funk you up
Come on dance
Jump on it
If you sexy than flaunt it
If you freaky than own it
Don't brag about it come show me
Come on dance
Jump on it
If you sexy than flaunt it
Well it's Saturday night and we in the spot
Don't believe me just watch
Come on
Don't believe me just watch
Don't believe me just watch
Don't believe me just watch
Don't believe me just watch
Don't believe me just watch
Hey hey hey oh
Uptown Funk you up Uptown Funk you up
say whaa
Uptown Funk you up Uptown Funk you up
Uptown Funk you up Uptown Funk you up
say whaa
Uptown Funk you up Uptown Funk you up
Uptown Funk you up Uptown Funk you up
say whaa
Uptown Funk you up Uptown Funk you up
Uptown Funk you up Uptown Funk you up
say whaa
Uptown Funk you up"
Marry You,Bruno Mars,Doo-Wops & Hooligans (International Ver.),2011.02.16,R&B/Soul,"81,456","It's a beautiful night
We're looking for something
dumb to do
Hey baby
I think I wanna marry you
Is it the look in your eyes
Or is it this dancing juice
Who cares baby
I think I wanna marry you
Well I know this little chapel
on the boulevard we can go
No one will know
Come on girl
Who cares
if we're trashed got a pocket
full of cash we can blow
Shots of patron
And it's on girl
Don't say no no no nono
Just say yeah yeah yeah yeahyeah
And we'll go go go gogo
If you're ready like I'm ready
Cause it's a beautiful night
We're looking for something
dumb to do
Hey baby
I think I wanna marry you
Is it the look in your eyes
Or is it this dancing juice
Who cares baby
I think I wanna marry you
I'll go get a ring
let the choir bells sing like oooh
So whatcha wanna do
Let's just run girl
If we wake up and you wanna
break up that's cool
No I won't blame you
It was fun girl
Don't say no no no nono
Just say yeah yeah yeah yeahyeah
And we'll go go go gogo
If you're ready like I'm ready
Cause it's a beautiful night
We're looking for something
dumb to do
Hey baby
I think I wanna marry you
Is it the look in your eyes
Or is it this dancing juice
Who cares baby
I think I wanna marry you
Just say I do
Tell me right now baby
Tell me right now baby baby
Just say I do
Tell me right now baby
Tell me right now baby baby
Cause it's a beautiful night
We're looking for something
dumb to do
Hey baby
I think I wanna marry you
Is it the look in your eyes
Or is it this dancing juice
Who cares baby
I think I wanna marry you"
